Product_ID,Product_Name,Gender,Category,Subcategory,Color,Price,Season
479322,Wide Straight Jeans,Male,Bottoms,Jeans,63 BLUE,$49.90,Fall/Winter
479322,Wide Straight Jeans,Male,Bottoms,Jeans,64 BLUE,$49.90,Fall/Winter
479322,Wide Straight Jeans,Male,Bottoms,Jeans,66 BLUE,$49.90,Fall/Winter
479322,Wide Straight Jeans,Male,Bottoms,Jeans,68 BLUE,$49.90,Fall/Winter
481255,Relaxed Ankle Jeans,Male,Bottoms,Jeans,66 BLUE,$39.90,Fall/Winter
481255,Relaxed Ankle Jeans,Male,Bottoms,Jeans,62 BLUE,$39.90,Fall/Winter
481255,Relaxed Ankle Jeans,Male,Bottoms,Jeans,09 BLACK,$39.90,Fall/Winter
481255,Relaxed Ankle Jeans,Male,Bottoms,Jeans,06 GRAY,$39.90,Fall/Winter
477660,"Linen Blend Easy Shorts | 5""",Male,Bottoms,Shorts,57 OLIVE,$29.90,Spring/Summer
477660,"Linen Blend Easy Shorts | 5""",Male,Bottoms,Shorts,69 NAVY,$29.90,Spring/Summer
477660,"Linen Blend Easy Shorts | 5""",Male,Bottoms,Shorts,32 BEIGE,$29.90,Spring/Summer
477660,"Linen Blend Easy Shorts | 5""",Male,Bottoms,Shorts,30 NATURAL,$29.90,Spring/Summer
477044,Relaxed Ankle Jeans,Unisex,Bottoms,Jeans,06 GRAY,$39.90,Fall/Winter
477044,Relaxed Ankle Jeans,Unisex,Bottoms,Jeans,09 BLACK,$39.90,Fall/Winter
477044,Relaxed Ankle Jeans,Unisex,Bottoms,Jeans,62 BLUE,$39.90,Fall/Winter
477044,Relaxed Ankle Jeans,Unisex,Bottoms,Jeans,66 BLUE,$39.90,Fall/Winter
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,09 BLACK,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,01 OFF WHITE,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,02 LIGHT GRAY,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,08 DARK GRAY,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,32 BEIGE,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,53 GREEN,$29.90,Spring/Summer
477753,"Ultra Stretch Active Shorts | 5""",Unisex,Bottoms,Shorts,67 BLUE,$29.90,Spring/Summer
473760,"Cotton Easy Shorts | 3""",Female,Bottoms,Shorts,30 NATURAL,$29.90,Spring/Summer
473760,"Cotton Easy Shorts | 3""",Female,Bottoms,Shorts,09 BLACK,$29.90,Spring/Summer
473760,"Cotton Easy Shorts | 3""",Female,Bottoms,Shorts,31 BEIGE ,$29.90,Spring/Summer
478719,Satin Camisole Dress,Female,Dress,Maxi Dress,09 BLACK,$49.90,Spring/Summer
478719,Satin Camisole Dress,Female,Dress,Maxi Dress,32 BEIGE,$49.90,Spring/Summer
478719,Satin Camisole Dress,Female,Dress,Maxi Dress,34 BROWN,$49.90,Spring/Summer
478719,Satin Camisole Dress,Female,Dress,Maxi Dress,58 DARK GREEN,$49.90,Spring/Summer
481136,Washable Knit Bra Dress,Female,Dress,Midi Dress,19 WINE,$39.90,Spring/Summer
481136,Washable Knit Bra Dress,Female,Dress,Midi Dress,09 BLACK,$39.90,Spring/Summer
481136,Washable Knit Bra Dress,Female,Dress,Midi Dress,08 DARK GRAY,$39.90,Spring/Summer
481136,Washable Knit Bra Dress,Female,Dress,Midi Dress,34 BROWN,$39.90,Spring/Summer
479367,Pleated Wide Pants | Tall,Male,Bottoms,Pants,06 GRAY,$49.90,Spring/Summer
479367,Pleated Wide Pants | Tall,Male,Bottoms,Pants,09 BLACK,$49.90,Spring/Summer
479367,Pleated Wide Pants | Tall,Male,Bottoms,Pants,32 BEIGE,$49.90,Spring/Summer
479367,Pleated Wide Pants | Tall,Male,Bottoms,Pants,69 NAVY,$49.90,Spring/Summer
477999,Super Non-Iron Slim Shirt | Regular Collar,Male,Tops,Shirt,09 BLACK,$39.90,Spring/Summer
477999,Super Non-Iron Slim Shirt | Regular Collar,Male,Tops,Shirt,00 WHITE,$39.90,Spring/Summer
477999,Super Non-Iron Slim Shirt | Regular Collar,Male,Tops,Shirt,60 LIGHT BLUE,$39.90,Spring/Summer
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,05 GRAY,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,03 GRAY,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,09 BLACK,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,19 WINE,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,34 BROWN,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,58 DARK GREEN,$39.90,Fall/Winter
479854,Wide Sweatpants,Unisex,Bottoms,Sweatpants,69 NAVY,$39.90,Fall/Winter
475647,Premium Linen Shirt,Female,Tops,Shirt,00 WHITE,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,10 PINK,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,15 RED,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,25 ORANGE,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,30 NATURAL,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,41 YELLOW,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,53 GREEN,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,55 GREEN,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,57 OLIVE,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,60 LIGHT BLUE,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,65 BLUE,$39.90,Spring/Summer
475647,Premium Linen Shirt,Female,Tops,Shirt,69 NAVY,$39.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,06 GRAY,$29.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,09 BLACK,$29.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,00 WHITE,$29.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,02 LIGHT GRAY,$29.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,60 LIGHT BLUE,$29.90,Spring/Summer
475370,AIRism Cotton Full Open Polo Shirt,Male,Tops,Shirt,62 BLUE,$29.90,Spring/Summer
474076,Ultra Stretch Mini Dress,Female,Dress,Mini Dress,69 NAVY ,$19.90,Spring/Summer
474076,Ultra Stretch Mini Dress,Female,Dress,Mini Dress,09 BLACK,$19.90,Spring/Summer
474076,Ultra Stretch Mini Dress,Female,Dress,Mini Dress,01 OFF WHITE,$19.90,Spring/Summer
474076,Ultra Stretch Mini Dress,Female,Dress,Mini Dress,14 RED,$19.90,Spring/Summer
474076,Ultra Stretch Mini Dress,Female,Dress,Mini Dress,41 YELLOW,$19.90,Spring/Summer
474056,Linen Blend Camisole Dress,Female,Dress,Midi Dress,24 ORANGE,$29.90,Spring/Summer
474056,Linen Blend Camisole Dress,Female,Dress,Midi Dress,09 BLACK,$29.90,Spring/Summer
474056,Linen Blend Camisole Dress,Female,Dress,Midi Dress,61 BLUE,$29.90,Spring/Summer
476550,AIRism Soft Mini Bra Dress,Female,Dress,Mini Dress,38 DARK BROWN,$19.90,Spring/Summer
476550,AIRism Soft Mini Bra Dress,Female,Dress,Mini Dress,09 BLACK,$19.90,Spring/Summer
476550,AIRism Soft Mini Bra Dress,Female,Dress,Mini Dress,00 WHITE,$19.90,Spring/Summer
476550,AIRism Soft Mini Bra Dress,Female,Dress,Mini Dress,61 BLUE,$19.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,30 NATURAL,$29.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,09 BLACK,$29.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,12 PINK,$29.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,21 LIGHT ORANGE,$29.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,56 OLIVE,$29.90,Spring/Summer
474062,AIRism Cotton T Dress,Female,Dress,Maxi Dress,69 NAVY,$29.90,Spring/Summer
478732,Crepe Jersey Mini Polo Dress,Female,Dress,Mini Dress,39 DARK BROWN,$39.90,Spring/Summer
478732,Crepe Jersey Mini Polo Dress,Female,Dress,Mini Dress,09 BLACK,$39.90,Spring/Summer
478732,Crepe Jersey Mini Polo Dress,Female,Dress,Mini Dress,17 RED,$39.90,Spring/Summer
478732,Crepe Jersey Mini Polo Dress,Female,Dress,Mini Dress,55 GREEN,$39.90,Spring/Summer
474079,Crepe Jersey Bra Camisole Dress,Female,Dress,Midi Dress,14 RED,$29.90,Spring/Summer
474079,Crepe Jersey Bra Camisole Dress,Female,Dress,Midi Dress,09 BLACK,$29.90,Spring/Summer
474079,Crepe Jersey Bra Camisole Dress,Female,Dress,Midi Dress,01 OFF WHITE,$29.90,Spring/Summer
